-0.233711 	-0.893826 	0	1	0	
-1.021882 	-1.759148 	0	1	0	
-0.844081 	-0.715720 	0	0	1	
-1.671499 	-0.241646 	1	0	0	
-1.770379 	-1.811518 	1	0	0	
-1.772027 	-0.740989 	1	0	0	
-0.974883 	-0.773522 	0	0	1	
-1.108066 	-0.218757 	0	1	0	
-1.626820 	-0.933500 	0	1	0	
-0.167913 	-0.760033 	1	0	0	
-1.821284 	-1.954100 	1	0	0	
-1.118686 	-1.397504 	0	1	0	
-0.857570 	-1.744804 	0	1	0	
-1.809137 	-0.853359 	1	0	0	
-0.763634 	-0.639241 	0	1	0	
-0.987213 	-0.636738 	0	0	1	
-0.753258 	-0.772179 	0	0	1	
-1.919980 	-0.934050 	1	0	0	
-1.305338 	-0.592486 	0	1	0	
-0.603046 	-0.729759 	0	1	0	
-1.551317 	-1.451338 	0	1	0	
-1.748039 	-0.595416 	1	0	0	
-0.658467 	-0.201117 	1	0	0	
-0.734031 	-1.583728 	0	1	0	
-0.897366 	-0.744163 	0	0	1	
-0.712302 	-0.665914 	0	1	0	
-1.079806 	-0.468276 	0	1	0	
-1.050142 	-0.149480 	1	0	0	
-0.055788 	-0.505875 	1	0	0	
-0.302194 	-1.513901 	1	0	0	
-0.956633 	-1.755486 	0	1	0	
-1.897031 	-1.101535 	1	0	0	
-1.870968 	-1.602039 	1	0	0	
-1.725333 	-0.102054 	1	0	0	
-1.642872 	-1.274270 	0	1	0	
-1.819025 	-0.267037 	1	0	0	
-0.477737 	-0.775964 	0	1	0	
-1.306375 	-1.792413 	1	0	0	
-0.044801 	-1.329020 	1	0	0	
-0.833216 	-0.806299 	0	0	1	
-0.762963 	-0.265877 	0	1	0	
-1.635487 	-0.900601 	0	1	0	
-0.957488 	-0.308664 	0	1	0	
-1.452315 	-0.141850 	1	0	0	
-1.576037 	-0.172124 	1	0	0	
-0.466323 	-0.001099 	1	0	0	
-1.149998 	-0.429090 	0	1	0	
-1.458419 	-1.638539 	0	1	0	
-0.689840 	-1.574267 	0	1	0	
-1.365215 	-1.981445 	1	0	0	
-1.201758 	-0.225288 	1	0	0	
-0.426283 	-1.032746 	0	1	0	
-1.512009 	-0.398083 	0	1	0	
-0.108829 	-0.847072 	1	0	0	
-1.088534 	-1.793512 	0	1	0	
-1.996948 	-1.612659 	1	0	0	
-1.545396 	-0.033265 	1	0	0	
-0.833216 	-1.276101 	0	0	1	
-1.518296 	-0.783349 	0	1	0	
-1.900815 	-0.147526 	1	0	0	
-0.599322 	-0.700217 	0	1	0	
-1.931883 	-0.923917 	1	0	0	
-1.016999 	-1.140294 	0	0	1	
-1.731620 	-1.567553 	1	0	0	
-0.750572 	-1.567370 	0	1	0	
-1.704337 	-1.477889 	1	0	0	
-0.764794 	-0.597491 	0	1	0	
-0.469314 	-0.393445 	1	0	0	
-0.053957 	-1.618152 	1	0	0	
-1.754448 	-0.462050 	1	0	0	
-1.181677 	-0.918241 	0	0	1	
-1.753960 	-0.916288 	0	1	0	
-0.003845 	-1.268532 	1	0	0	
-0.139164 	-1.791864 	1	0	0	
-0.263619 	-0.887906 	0	1	0	
-0.908841 	-0.126896 	1	0	0	
-0.744407 	-0.734153 	0	0	1	
-0.266671 	-1.078707 	0	1	0	
-1.668630 	-0.056398 	1	0	0	
-1.714103 	-1.396039 	1	0	0	
-0.031007 	-1.147130 	1	0	0	
-1.544908 	-1.684744 	1	0	0	
-0.552202 	-1.230201 	0	1	0	
-0.930021 	-0.903470 	0	0	1	
-1.941221 	-0.423780 	1	0	0	
-1.779839 	-1.527573 	1	0	0	
-1.153844 	-1.714530 	0	1	0	
-0.570696 	-0.818262 	0	1	0	
-1.335185 	-1.881344 	1	0	0	
-1.324381 	-0.634968 	0	1	0	
-0.132511 	-1.305521 	1	0	0	
-1.927122 	-1.228004 	1	0	0	
-0.067324 	-1.605396 	1	0	0	
-0.976165 	-1.449324 	0	1	0	
-1.653127 	-1.032502 	0	1	0	
-1.340983 	-0.818690 	0	0	1	
-0.946806 	-0.567095 	0	1	0	
-1.626698 	-1.882748 	1	0	0	
-0.221686 	-0.650288 	1	0	0	
-1.727897 	-0.304453 	1	0	0	
-1.448408 	-1.490402 	0	1	0	
-1.659169 	-1.121189 	0	1	0	
-1.272134 	-0.881008 	0	0	1	
-1.850887 	-0.607196 	1	0	0	
-1.173681 	-0.468703 	0	1	0	
-0.097110 	-0.179815 	1	0	0	
-1.501450 	-0.406629 	0	1	0	
-1.343791 	-1.786248 	1	0	0	
-1.061922 	-1.333048 	0	0	1	
-1.503220 	-1.207251 	0	1	0	
-0.956328 	-1.611072 	0	1	0	
-1.484787 	-0.717917 	0	1	0	
-0.350902 	-0.768212 	0	1	0	
-0.627033 	-1.540086 	0	1	0	
-0.868496 	-1.072115 	0	0	1	
-1.719840 	-1.525620 	1	0	0	
-1.288064 	-0.180670 	1	0	0	
-0.803980 	-0.508072 	0	1	0	
-1.241066 	-0.804041 	0	0	1	
-1.935850 	-0.759178 	1	0	0	
-1.591113 	-0.315500 	1	0	0	
-0.103641 	-0.988617 	1	0	0	
-0.184271 	-0.249519 	1	0	0	
-0.484512 	-1.324503 	0	1	0	
